Pacman Agent|Ghost Agent|Layout|Average Score|Scores|Win Rate|Record|Number of Iterations|Simulation Length|Depth|Number of Ghosts|Tree Reuse|Command|Average Number of Moves|Time Taken
ExpectimaxAgent|RandomGhost|layouts/gen_small/small8_spatial.lay|-265.0|-265.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small8_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|94.0|18.84017276763916
ExpectimaxAgent|RandomGhost|layouts/gen_small/small23_spatial.lay|279.0|279.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small23_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|90.0|2.617753744125366
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium17_spatial.lay|-602.0|-602.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium17_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|18.416626453399658
MinimaxAgent|RandomGhost|layouts/gen_small/small12_spatial.lay|727.0|727.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small12_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|102.0|0.4459841251373291
MCTSAgent|RandomGhost|layouts/gen_small/small25_spatial.lay|1381.5|1375.0, 1388.0|1.0|Win, Win|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small25_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|77.5|40.13696360588074
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small4_spatial.lay|759.0|759.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small4_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|60.0|2.2020416259765625
ExpectimaxAgent|DirectionalGhost|layouts/gen_medium/medium15_spatial.lay|1112.0|1112.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium15_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|197.0|14.5963454246521
MinimaxAgent|RandomGhost|layouts/gen_small/small8_spatial.lay|-325.0|-325.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small8_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|74.0|16.217004537582397
MCTSAgent|DirectionalGhost|layouts/gen_small/small8_spatial.lay|-228.0|-499.0, 43.0|0.0|Loss, Loss|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small8_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|32.0|16.697800874710083
ExpectimaxAgent|RandomGhost|layouts/gen_small/small7_spatial.lay|384.0|384.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small7_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|585.0|3.899566650390625
ExpectimaxAgent|RandomGhost|layouts/gen_large/large5_spatial.lay|-602.0|-602.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large5_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|44.52752661705017
MCTSAgent|DirectionalGhost|layouts/gen_large/large8_spatial.lay|900.5|1874.0, -73.0|0.0|Loss, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_large/large8_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|169.5|167.10449314117432
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium17_spatial.lay|-375.0|-375.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium17_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|14.0|3.4166243076324463
MinimaxAgent|DirectionalGhost|layouts/gen_small/small22_spatial.lay|1322.0|1322.0|1.0|Win|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small22_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|37.0|0.9251613616943359
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium2_spatial.lay|-375.0|-375.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium2_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|14.0|3.200655221939087
ExpectimaxAgent|RandomGhost|layouts/gen_large/large19_spatial.lay|528.0|528.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large19_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|29.799444437026978
MinimaxAgent|RandomGhost|layouts/gen_medium/medium28_spatial.lay|-78.0|-78.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium28_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|747.0|297.48454427719116
MinimaxAgent|RandomGhost|layouts/gen_large/large17_spatial.lay|-902.0|-902.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large17_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|23.082415342330933
MinimaxAgent|DirectionalGhost|layouts/gen_small/small27_spatial.lay|-312.0|-312.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small27_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|81.0|7.423325061798096
MCTSAgent|DirectionalGhost|layouts/gen_small/small16_spatial.lay|-323.0|-455.0, -191.0|0.0|Loss, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small16_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|48.0|27.13210654258728
MCTSAgent|RandomGhost|layouts/gen_large/large16_spatial.lay|2482.0|3018.0, 1946.0|0.5|Win, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_large/large16_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|457.5|360.3045873641968
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium12_spatial.lay|58.0|58.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium12_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|1501.0|239.82184267044067
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small6_spatial.lay|-340.0|-340.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small6_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|19.0|0.22320985794067383
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small7_spatial.lay|1421.0|1421.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small7_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|148.0|0.637129545211792
MinimaxAgent|DirectionalGhost|layouts/gen_large/large6_spatial.lay|1185.0|1185.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large6_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|134.0|47.62499523162842
MCTSAgent|DirectionalGhost|layouts/gen_medium/medium18_spatial.lay|742.0|558.0, 926.0|0.0|Loss, Loss|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium18_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|312.5|254.57761526107788
ExpectimaxAgent|RandomGhost|layouts/gen_small/small12_spatial.lay|1287.0|1287.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small12_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|142.0|0.5639054775238037
MCTSAgent|DirectionalGhost|layouts/gen_medium/medium2_spatial.lay|63.5|505.0, -378.0|0.0|Loss, Loss|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium2_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|70.5|64.58955430984497
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium10_spatial.lay|2.0|2.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium10_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|27.0|1.2485740184783936
MinimaxAgent|RandomGhost|layouts/gen_medium/medium24_spatial.lay|-1092.0|-1092.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium24_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|17.059279203414917
ExpectimaxAgent|RandomGhost|layouts/gen_small/small5_spatial.lay|-534.0|-534.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small5_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|94.0|0.6508071422576904
MinimaxAgent|DirectionalGhost|layouts/gen_small/small0_spatial.lay|-401.0|-401.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small0_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|10.0|0.19982218742370605
MinimaxAgent|RandomGhost|layouts/gen_small/small28_spatial.lay|49.0|49.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small28_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|70.0|0.38240981101989746
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium17_spatial.lay|-579.0|-579.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium17_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|1138.0|293.1415865421295
MinimaxAgent|RandomGhost|layouts/gen_medium/medium19_spatial.lay|-222.0|-222.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium19_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|16.971693992614746
MCTSAgent|RandomGhost|layouts/gen_medium/medium7_spatial.lay|1942.5|1924.0, 1961.0|1.0|Win, Win|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium7_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|246.5|234.2055652141571
MCTSAgent|DirectionalGhost|layouts/gen_large/large7_spatial.lay|889.5|1398.0, 381.0|0.0|Loss, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_large/large7_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|785.0|544.8517768383026
MCTSAgent|RandomGhost|layouts/gen_small/small19_spatial.lay|1271.0|1386.0, 1156.0|1.0|Win, Win|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small19_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|78.0|37.239683628082275
ExpectimaxAgent|DirectionalGhost|layouts/gen_medium/medium16_spatial.lay|412.0|412.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium16_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|127.0|3.123378038406372
ExpectimaxAgent|RandomGhost|layouts/gen_small/small3_spatial.lay|-932.0|-932.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small3_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|15.06474232673645
MCTSAgent|DirectionalGhost|layouts/gen_small/small25_spatial.lay|637.5|1330.0, -55.0|0.5|Win, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small25_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|92.0|45.688342571258545
MCTSAgent|RandomGhost|layouts/gen_small/small27_spatial.lay|490.0|1175.0, -195.0|0.0|Loss, Loss|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small27_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|75.0|57.23539209365845
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium11_spatial.lay|-190.0|-190.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium11_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|609.0|179.12992644309998
MinimaxAgent|RandomGhost|layouts/gen_large/large9_spatial.lay|203.0|203.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large9_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|1226.0|580.4127523899078
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small23_spatial.lay|-455.0|-455.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small23_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|5.0|0.33689284324645996
ExpectimaxAgent|DirectionalGhost|layouts/gen_medium/medium27_spatial.lay|609.0|609.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium27_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|260.0|3.714848041534424
ExpectimaxAgent|RandomGhost|layouts/gen_large/large0_spatial.lay|358.0|358.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large0_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|1501.0|2043.8786280155182
MinimaxAgent|RandomGhost|layouts/gen_small/small6_spatial.lay|-120.0|-120.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small6_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|699.0|5.9936723709106445
ExpectimaxAgent|RandomGhost|layouts/gen_large/large4_spatial.lay|478.0|478.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large4_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|32.70219039916992
ExpectimaxAgent|RandomGhost|layouts/gen_small/small20_spatial.lay|735.0|735.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small20_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|75.0|7.561243772506714
