Pacman Agent|Ghost Agent|Layout|Average Score|Scores|Win Rate|Record|Number of Iterations|Simulation Length|Depth|Number of Ghosts|Tree Reuse|Command|Average Number of Moves|Time Taken
MinimaxAgent|DirectionalGhost|layouts/gen_small/small18_spatial.lay|1190.0|1190.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small18_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|59.0|0.19199895858764648
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium8_spatial.lay|-486.0|-486.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium8_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|15.0|0.17199969291687012
MinimaxAgent|RandomGhost|layouts/gen_medium/medium21_spatial.lay|-287.0|-287.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium21_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|26.0|0.3999974727630615
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small16_spatial.lay|397.0|397.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small16_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|92.0|0.6296505928039551
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium1_spatial.lay|-282.0|-282.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium1_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|102.0|0.758652925491333
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small7_spatial.lay|-342.0|-342.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small7_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|21.0|2.0960323810577393
MinimaxAgent|RandomGhost|layouts/gen_small/small25_spatial.lay|523.0|523.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small25_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|76.0|1.9219164848327637
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium14_spatial.lay|-266.0|-266.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium14_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|25.0|5.5587990283966064
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium13_spatial.lay|1951.0|1951.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium13_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|248.0|2.288203716278076
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium21_spatial.lay|-252.0|-252.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium21_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|18.220677137374878
MinimaxAgent|DirectionalGhost|layouts/gen_large/large14_spatial.lay|-375.0|-375.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large14_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|14.0|23.986467838287354
MCTSAgent|RandomGhost|layouts/gen_small/small2_spatial.lay|389.5|814.0, -35.0|0.5|Win, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small2_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|55.0|27.85534143447876
ExpectimaxAgent|DirectionalGhost|layouts/gen_large/large16_spatial.lay|1662.0|1662.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large16_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|668.0|12.12500548362732
MCTSAgent|RandomGhost|layouts/gen_small/small14_spatial.lay|1312.0|1215.0, 1409.0|1.0|Win, Win|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small14_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|77.0|38.54349327087402
ExpectimaxAgent|RandomGhost|layouts/gen_large/large6_spatial.lay|-44.0|-44.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large6_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|103.0|38.69049334526062
ExpectimaxAgent|RandomGhost|layouts/gen_large/large9_spatial.lay|-142.0|-142.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large9_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|36.44648766517639
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small28_spatial.lay|799.0|799.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small28_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|21.0|1.0752906799316406
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small12_spatial.lay|408.0|408.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small12_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|21.0|0.8972983360290527
MinimaxAgent|RandomGhost|layouts/gen_small/small17_spatial.lay|419.0|419.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small17_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|131.0|0.3948967456817627
MinimaxAgent|DirectionalGhost|layouts/gen_small/small0_spatial.lay|-419.0|-419.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small0_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|8.0|5.042452812194824
ExpectimaxAgent|RandomGhost|layouts/gen_small/small8_spatial.lay|-449.0|-449.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small8_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|289.0|2.262868642807007
MinimaxAgent|DirectionalGhost|layouts/gen_large/large16_spatial.lay|-254.0|-254.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large16_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|33.0|0.6579537391662598
MinimaxAgent|DirectionalGhost|layouts/gen_small/small14_spatial.lay|210.0|210.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small14_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|69.0|0.5060069561004639
MinimaxAgent|DirectionalGhost|layouts/gen_small/small28_spatial.lay|128.0|128.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small28_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|11.0|0.6370069980621338
MinimaxAgent|RandomGhost|layouts/gen_small/small14_spatial.lay|-406.0|-406.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small14_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|15.0|3.3833842277526855
MinimaxAgent|RandomGhost|layouts/gen_small/small9_spatial.lay|-267.0|-267.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small9_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|966.0|12.156300067901611
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium3_spatial.lay|-446.0|-446.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium3_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|5.0|2.0227363109588623
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium0_spatial.lay|852.0|852.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium0_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|227.0|2.201070785522461
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium21_spatial.lay|-512.0|-512.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium21_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|331.0|60.86478281021118
ExpectimaxAgent|RandomGhost|layouts/gen_small/small28_spatial.lay|1076.0|1076.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small28_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|33.0|1.3832712173461914
MCTSAgent|DirectionalGhost|layouts/gen_small/small13_spatial.lay|325.5|-423.0, 1074.0|0.5|Loss, Win|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small13_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|73.5|59.84465932846069
MCTSAgent|RandomGhost|layouts/gen_small/small9_spatial.lay|1323.5|1409.0, 1238.0|1.0|Win, Win|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small9_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|85.5|44.58639359474182
ExpectimaxAgent|DirectionalGhost|layouts/gen_large/large8_spatial.lay|-422.0|-422.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large8_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|11.0|11.531095266342163
MinimaxAgent|RandomGhost|layouts/gen_medium/medium7_spatial.lay|-922.0|-922.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium7_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|21.849364519119263
MCTSAgent|RandomGhost|layouts/gen_medium/medium13_spatial.lay|1405.0|2182.0, 628.0|0.5|Win, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium13_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|174.5|115.2474935054779
MCTSAgent|DirectionalGhost|layouts/gen_small/small3_spatial.lay|1445.0|1737.0, 1153.0|1.0|Win, Win|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small3_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|194.0|93.89633870124817
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium21_spatial.lay|-215.0|-215.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium21_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|34.0|10.655883312225342
ExpectimaxAgent|RandomGhost|layouts/gen_small/small0_spatial.lay|1126.0|1126.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small0_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|483.0|6.626188516616821
MinimaxAgent|DirectionalGhost|layouts/gen_small/small26_spatial.lay|-432.0|-432.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small26_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|51.0|0.11657071113586426
MCTSAgent|DirectionalGhost|layouts/gen_small/small17_spatial.lay|528.0|-213.0, 1269.0|0.5|Loss, Win|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small17_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|61.5|44.2758903503418
MCTSAgent|DirectionalGhost|layouts/gen_medium/medium19_spatial.lay|1046.0|1766.0, 326.0|0.5|Win, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium19_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|218.5|132.85616087913513
ExpectimaxAgent|RandomGhost|layouts/gen_small/small1_spatial.lay|863.0|863.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small1_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|786.0|143.29285407066345
MinimaxAgent|RandomGhost|layouts/gen_medium/medium9_spatial.lay|-1102.0|-1102.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium9_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|16.16227626800537
MCTSAgent|DirectionalGhost|layouts/gen_medium/medium9_spatial.lay|1062.5|1135.0, 990.0|0.0|Loss, Loss|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium9_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|171.5|153.32244777679443
ExpectimaxAgent|RandomGhost|layouts/gen_large/large1_spatial.lay|-792.0|-792.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large1_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|32.85860991477966
MCTSAgent|RandomGhost|layouts/gen_medium/medium12_spatial.lay|1409.5|818.0, 2001.0|0.5|Loss, Win|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium12_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|170.0|113.0855712890625
MCTSAgent|RandomGhost|layouts/gen_medium/medium15_spatial.lay|1538.5|664.0, 2413.0|0.5|Loss, Win|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium15_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|196.0|173.3402876853943
MCTSAgent|RandomGhost|layouts/gen_medium/medium26_spatial.lay|1297.5|790.0, 1805.0|0.5|Loss, Win|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium26_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|207.0|187.1072359085083
MCTSAgent|DirectionalGhost|layouts/gen_small/small29_spatial.lay|-455.0|-455.0, -455.0|0.0|Loss, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small29_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|5.0|1.824282169342041
ExpectimaxAgent|DirectionalGhost|layouts/gen_large/large7_spatial.lay|-411.0|-411.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large7_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|10.0|18.122845888137817
ExpectimaxAgent|RandomGhost|layouts/gen_large/large15_spatial.lay|-528.0|-528.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large15_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|447.0|139.0112555027008
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium10_spatial.lay|106.0|106.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium10_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|393.0|197.52532052993774
MCTSAgent|DirectionalGhost|layouts/gen_small/small15_spatial.lay|241.5|-128.0, 611.0|0.0|Loss, Loss|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small15_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|93.5|79.00923204421997
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium20_spatial.lay|-440.0|-440.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium20_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|9.0|6.4382874965667725
ExpectimaxAgent|RandomGhost|layouts/gen_small/small3_spatial.lay|1904.0|1904.0|1.0|Win|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small3_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|135.0|15.516554832458496
MinimaxAgent|DirectionalGhost|layouts/gen_small/small10_spatial.lay|-401.0|-401.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small10_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|11.0|0.03800177574157715
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small5_spatial.lay|-475.0|-475.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small5_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|4.0|0.07299971580505371
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium29_spatial.lay|-582.0|-582.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium29_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|26.46123456954956
MinimaxAgent|DirectionalGhost|layouts/gen_small/small25_spatial.lay|-311.0|-311.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small25_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|20.0|0.06242489814758301
MCTSAgent|RandomGhost|layouts/gen_small/small28_spatial.lay|698.0|290.0, 1106.0|0.5|Loss, Win|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small28_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|36.5|18.176857709884644
MinimaxAgent|DirectionalGhost|layouts/gen_small/small23_spatial.lay|-421.0|-421.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small23_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|10.0|0.26117873191833496
MCTSAgent|RandomGhost|layouts/gen_small/small13_spatial.lay|675.5|1082.0, 269.0|0.5|Win, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small13_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|59.0|28.07286286354065
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium27_spatial.lay|-392.0|-392.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium27_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|11.0|11.343196630477905
MCTSAgent|RandomGhost|layouts/gen_small/small4_spatial.lay|1116.5|1639.0, 594.0|0.5|Win, Loss|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small4_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|73.0|56.951828718185425
MinimaxAgent|RandomGhost|layouts/gen_large/large18_spatial.lay|258.0|258.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large18_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|37.659587383270264
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small28_spatial.lay|231.0|231.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small28_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|38.0|0.17000055313110352
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small25_spatial.lay|1549.0|1549.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small25_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|110.0|0.48999929428100586
MinimaxAgent|RandomGhost|layouts/gen_small/small18_spatial.lay|156.0|156.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small18_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|64.0|0.3056755065917969
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium9_spatial.lay|-464.0|-464.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium9_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|93.0|8.38045358657837
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small8_spatial.lay|-248.0|-248.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small8_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|37.0|0.41700005531311035
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium24_spatial.lay|-212.0|-212.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium24_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|31.0|14.673383474349976
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium0_spatial.lay|218.0|218.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium0_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|24.36105465888977
MCTSAgent|RandomGhost|layouts/gen_medium/medium19_spatial.lay|2112.5|2237.0, 1988.0|1.0|Win, Win|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_medium/medium19_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|246.5|222.5157687664032
ExpectimaxAgent|RandomGhost|layouts/gen_small/small13_spatial.lay|-79.0|-79.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small13_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|89.0|0.8963401317596436
MinimaxAgent|RandomGhost|layouts/gen_medium/medium5_spatial.lay|-257.0|-257.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium5_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|546.0|147.68413925170898
ExpectimaxAgent|DirectionalGhost|layouts/gen_medium/medium4_spatial.lay|4.0|4.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium4_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|155.0|1.530226230621338
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium27_spatial.lay|415.0|415.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium27_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|144.0|2.431206703186035
MCTSAgent|DirectionalGhost|layouts/gen_large/large9_spatial.lay|256.0|-412.0, 924.0|0.0|Loss, Loss|2|20|N/A|4|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_large/large9_spatial.lay --pacman MCTSAgent --ghost DirectionalGhost --numghosts 4 --agentArgs simulation_length=20,should_reuse=True,ghost_type=DirectionalGhost|94.0|120.5905430316925
